"Country","Region","meanGDP","meanSocialSupport","meanGenerosity","meanCorruption","meanLifeExpectancy","meanFreedom"
"Mongolia","Eastern Asia",0.99622858007412,1.33154648102385,0.284754995787374,0.0401181768977435,0.560242705807365,0.381603385477571
"Montenegro","Central and Eastern Europe",1.12250488886871,1.08816680002779,0.154278919261704,0.0969724131371899,0.720379196064892,0.268115362924391
"Morocco","Middle East and Northern Africa",0.849013336388512,0.56412161414949,0.0375615632694812,0.0843310983523612,0.640132198880085,0.422322808888681
"Mozambique","Sub-Saharan Africa",0.237018145142258,0.862023413285082,0.225905743982302,0.165361528804509,0.210312581913742,0.515419490274135
"Myanmar","Southeastern Asia",0.594175185050449,0.940909275991654,0.644934861122528,0.186389569833386,0.448778205587837,0.524757612739014
"Namibia","Sub-Saharan Africa",0.952055187956434,1.04568985086793,0.072934032565009,0.071635330765461,0.36441899734278,0.452291788626051
"Nepal","Southern Asia",0.513012570482525,0.972694071287391,0.313828496486933,0.0952035636401997,0.556685021337109,0.455731775407181
"Netherlands","Western Europe",1.4800013721739,1.31210939478619,0.373133424847334,0.333080198427309,0.863565183628815,0.607485121013222
"New Zealand","Australia and New Zealand",1.38523299537647,1.37685793795906,0.376343917124931,0.423668122265932,0.87540350056794,0.6350877548064
"Nicaragua","Latin America and Caribbean",0.725552793609085,1.14650980746079,0.233428211748213,0.162982819480494,0.700932401952133,0.520029893813026
"Niger","Sub-Saharan Africa",0.184169457844762,0.709721893357967,0.196052592691194,0.138409713898854,0.275751420003573,0.43141253892663
"Nigeria","Sub-Saharan Africa",0.74539601438794,0.923973552752121,0.219974415060452,0.0368139376340133,0.134987708279745,0.402114002553949
"North Cyprus","Western Europe",1.3453975926437,1.05184156426894,0.210864469640625,0.174092032178435,0.899593979406818,0.476664918525272
"North Macedonia","Central and Eastern Europe",1.05659499151577,1.04296831886927,0.210410562959795,0.0434516065695565,0.691471539561276,0.378047570709957
"Norway","Western Europe",1.57013881429459,1.37469325757129,0.299867165413801,0.381856800315519,0.867842300244072,0.661430433924339
"Oman","Middle East and Northern Africa",1.36011,1.08182,0.21542,0.32524,0.76276,0.63274
"Pakistan","Southern Asia",0.705284125577095,0.594141283820469,0.257713885271584,0.113797523468399,0.430587628142046,0.30260962444732
"Palestinian Territories","Middle East and Northern Africa",0.708247305815475,1.02903408907784,0.0967549293630524,0.0865470317589702,0.579635443323856,0.26660522646451
"Panama","Latin America and Caribbean",1.23150078112177,1.23749523071898,0.144488030905534,0.0653930562464566,0.766832833825676,0.557780826751385
"Paraguay","Latin America and Caribbean",0.9457635175345,1.29854530496056,0.218351237331726,0.0703154115548496,0.640506292415154,0.543419731719698
"Peru","Latin America and Caribbean",1.01587305652233,1.05441454459856,0.108190191487979,0.0394864683176172,0.712590036047077,0.477399117113043
"Philippines","Southeastern Asia",0.856663736426517,1.09477866098531,0.157302954400553,0.118759702503354,0.5289623169576,0.613889979559101
"Poland","Central and Eastern Europe",1.28517712659721,1.26555521766616,0.120357526322787,0.0876211321492286,0.76026547799947,0.52142070494844
"Portugal","Western Europe",1.30149451573451,1.20832417091763,0.068654957439002,0.0229491147108425,0.85799735282777,0.54954006107579
"Puerto Rico","Latin America and Caribbean",1.35943,1.08113,0.22202,0.12275,0.77758,0.46823
"Qatar","Middle East and Northern Africa",1.74369113720703,1.16970737595367,0.291216774007797,0.355973851121902,0.768731617557526,0.604064196670532
